"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
"79.0","-63.0","40.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-4.454296369877442E-17","0.0","-4.454296369877442E-17"
